No.	Name	Pronunciation	New_Freq
476	單	tuann	3371
291	燒	sio	3369
530	爸	pē	3368
912	故	kòo	3365
333	娘	niû	3365
539	罪	tsuē	3360
179	塗	thôo	3339
1040	確	khak	3339
1233	誠	sîng	3330
1889	督	tok	3324
185	價	kè	3323
671	件	kiānn	3307
1331	都	too	3302
2029	到	tò	3301
657	準	tsún	3291
688	條	tiâu	3286
283	破	phuà	3280
270	船	tsûn	3270
819	請	tshiánn	3261
1118	聖	sìng	3249
3848	的	ti̍k	3240
352	重	tāng	3234
745	華	huâ	3233
353	送	sàng	3230
604	張	tiunn	3222
860	望	bōng	3218
285	牽	khan	3217
403	味	bī	3212
852	英	ing	3210
744	等	tíng	3203
437	建	kiàn	3201
1641	敢	kánn	3179
432	生	tshinn	3163
432	生	tshenn	3163
207	數	siàu	3156
376	氣	khuì	3144
213	紙	tsuá	3134
284	專	tsuan	3129
128	豬	ti	3126
128	豬	tu	3126
1673	寡	kuá	3125
911	思	su	3123
949	遠	uán	3116
375	重	tiōng	3114
152	臭	tshàu	3108
299	精	tsing	3107
1534	𥍉	nih	3101
1044	獨	to̍k	3095
1510	曉	hiáu	3083
1048	擺	pái	3083
665	隨	suî	3082
355	強	kiông	3049
840	別	pa̍t	3043
623	謝	siā	3028
414	院	īnn	3016
581	願	guān	3016
894	少	siàu	3010
629	考	khó	3008
1733	歡	huann	3006
452	認	jīn	3005
452	認	līn	3005
100	豆	tāu	3000
2383	那	ná	2994
734	陣	tīn	2992
1827	隻	tsiah	2989
1493	該	kai	2986
3824	朋	pîng	2984
534	書	su	2980
3703	吶	nā	2973
984	使	sú	2966
983	使	sái	2966
351	流	lâu	2954
356	排	pâi	2950
110	鎮	tìn	2950
1275	只	tsí	2950
1072	兩	nn̄g	2949
235	鬼	kuí	2941
373	品	phín	2932
231	房	pâng	2928
259	布	pòo	2924
570	落	làu	2916
567	雄	hiông	2901
3779	呢	neh	2892
402	輕	khin	2882
222	軍	kun	2876
307	林	nâ	2875
1227	詞	sû	2871
239	戲	hì	2869
377	祖	tsóo	2864
783	府	hú	2856
621	檢	kiám	2838
558	倒	tó	2836
854	倚	uá	2834
459	爿	pîng	2834
488	議	gī	2834
1794	𤆬	tshuā	2833
238	數	sòo	2832
2399	始	sí	2824
1531	讀	tha̍k	2820
323	雙	siang	2816
