291	海	3,923	0.07%	64.52%
292	lán	3,920	0.07%	64.59%
293	誌	3,914	0.07%	64.66%
294	算	3,912	0.07%	64.73%
295	免	3,911	0.07%	64.80%
296	覺	3,909	0.07%	64.87%
297	結	3,899	0.07%	64.94%
298	解	3,869	0.07%	65.01%
299	嘴	3,864	0.07%	65.08%
300	表	3,860	0.07%	65.15%
301	雖	3,854	0.07%	65.22%
302	ka	3,853	0.07%	65.29%
303	合	3,823	0.07%	65.36%
304	少	3,817	0.07%	65.43%
305	mih	3,813	0.07%	65.49%
306	四	3,805	0.07%	65.56%
307	項	3,798	0.07%	65.63%
308	思	3,785	0.07%	65.70%
309	金	3,780	0.07%	65.77%
310	抑	3,756	0.07%	65.83%
311	福	3,755	0.07%	65.90%
312	風	3,747	0.07%	65.97%
313	亦	3,742	0.07%	66.04%
314	認	3,710	0.07%	66.10%
315	友	3,706	0.07%	66.17%
316	口	3,700	0.07%	66.24%
317	光	3,700	0.07%	66.30%
318	王	3,700	0.07%	66.37%
319	部	3,686	0.07%	66.44%
320	流	3,684	0.07%	66.50%
321	提	3,663	0.07%	66.57%
322	土	3,624	0.07%	66.63%
323	kan	3,622	0.07%	66.70%
324	進	3,602	0.06%	66.76%
325	疼	3,585	0.06%	66.83%
326	兄	3,561	0.06%	66.89%
327	花	3,532	0.06%	66.95%
328	立	3,514	0.06%	67.02%
329	向	3,508	0.06%	67.08%
330	ē	3,474	0.06%	67.14%
331	離	3,473	0.06%	67.20%
332	陣	3,438	0.06%	67.27%
333	族	3,399	0.06%	67.33%
334	電	3,348	0.06%	67.39%
335	taⁿ	3,338	0.06%	67.45%
336	siáⁿ	3,338	0.06%	67.51%
337	機	3,322	0.06%	67.57%
338	e	3,311	0.06%	67.63%
339	chhōe	3,305	0.06%	67.69%
340	接	3,302	0.06%	67.75%
341	確	3,297	0.06%	67.80%
342	運	3,290	0.06%	67.86%
343	坐	3,288	0.06%	67.92%
344	但	3,276	0.06%	67.98%
345	南	3,271	0.06%	68.04%
346	囡	3,270	0.06%	68.10%
347	多	3,266	0.06%	68.16%
348	統	3,266	0.06%	68.22%
349	題	3,261	0.06%	68.27%
350	gín	3,248	0.06%	68.33%
351	其	3,245	0.06%	68.39%
352	烏	3,233	0.06%	68.45%
353	義	3,225	0.06%	68.51%
354	牧	3,202	0.06%	68.56%
355	怎	3,202	0.06%	68.62%
356	單	3,201	0.06%	68.68%
357	病	3,185	0.06%	68.74%
358	歲	3,181	0.06%	68.79%
359	樣	3,175	0.06%	68.85%
360	góan	3,172	0.06%	68.91%
361	火	3,170	0.06%	68.97%
362	萬	3,170	0.06%	69.02%
363	女	3,153	0.06%	69.08%
364	nih	3,144	0.06%	69.14%
365	百	3,139	0.06%	69.19%
366	失	3,117	0.06%	69.25%
367	詩	3,115	0.06%	69.30%
368	條	3,108	0.06%	69.36%
369	救	3,107	0.06%	69.42%
370	張	3,097	0.06%	69.47%
371	督	3,074	0.06%	69.53%
372	北	3,053	0.05%	69.58%
373	設	3,052	0.05%	69.64%
374	勢	3,045	0.05%	69.69%
375	半	3,033	0.05%	69.74%
376	治	3,010	0.05%	69.80%
377	能	2,999	0.05%	69.85%
378	反	2,996	0.05%	69.91%
379	色	2,986	0.05%	69.96%
380	媽	2,971	0.05%	70.01%
381	求	2,958	0.05%	70.07%
382	連	2,942	0.05%	70.12%
383	kha	2,937	0.05%	70.17%
384	遠	2,936	0.05%	70.22%
385	朋	2,934	0.05%	70.28%
386	nā	2,923	0.05%	70.33%
387	tiāⁿ	2,908	0.05%	70.38%
388	醫	2,907	0.05%	70.43%
389	tńg	2,899	0.05%	70.49%
390	ta̍k	2,895	0.05%	70.54%
391	soah	2,895	0.05%	70.59%
392	歌	2,887	0.05%	70.64%
393	那	2,844	0.05%	70.69%
394	呢	2,842	0.05%	70.74%
395	西	2,842	0.05%	70.80%
396	青	2,825	0.05%	70.85%
397	華	2,815	0.05%	70.90%
398	校	2,804	0.05%	70.95%
399	má	2,803	0.05%	71.00%
400	愈	2,800	0.05%	71.05%
401	步	2,791	0.05%	71.10%
402	獨	2,777	0.05%	71.15%
403	念	2,777	0.05%	71.20%
404	故	2,765	0.05%	71.25%
405	場	2,758	0.05%	71.30%
406	權	2,757	0.05%	71.35%
407	林	2,753	0.05%	71.40%
408	佇	2,751	0.05%	71.45%
409	隻	2,739	0.05%	71.49%
410	式	2,719	0.05%	71.54%
411	都	2,711	0.05%	71.59%
412	止	2,709	0.05%	71.64%
413	高	2,707	0.05%	71.69%
414	育	2,702	0.05%	71.74%
415	交	2,692	0.05%	71.79%
416	未	2,691	0.05%	71.83%
417	示	2,685	0.05%	71.88%
418	句	2,678	0.05%	71.93%
419	熱	2,675	0.05%	71.98%
420	選	2,675	0.05%	72.03%
421	始	2,674	0.05%	72.07%
422	該	2,636	0.05%	72.12%
423	改	2,627	0.05%	72.17%
424	保	2,627	0.05%	72.22%
425	tòa	2,625	0.05%	72.26%
426	徒	2,597	0.05%	72.31%
427	罪	2,597	0.05%	72.36%
428	樂	2,586	0.05%	72.40%
429	五	2,584	0.05%	72.45%
430	chhōa	2,583	0.05%	72.50%
431	書	2,575	0.05%	72.54%
432	近	2,572	0.05%	72.59%
433	佮	2,568	0.05%	72.63%
434	英	2,560	0.05%	72.68%
435	差	2,558	0.05%	72.73%
436	參	2,551	0.05%	72.77%
437	只	2,550	0.05%	72.82%
438	kú	2,543	0.05%	72.86%
439	睏	2,536	0.05%	72.91%
440	眾	2,535	0.05%	72.96%
441	chiâⁿ	2,535	0.05%	73.00%
442	說	2,534	0.05%	73.05%
443	擺	2,533	0.05%	73.09%
444	鄉	2,525	0.05%	73.14%
445	業	2,524	0.05%	73.18%
446	顧	2,511	0.05%	73.23%
