No.	Name	New_Freq
584	雞	1640
585	輕	1632
586	甘	1632
587	品	1632
588	夫	1628
589	服	1625
590	幫	1620
591	非	1618
592	量	1607
593	資	1606
594	千	1604
595	排	1600
596	待	1597
597	注	1596
598	姓	1596
599	之	1595
600	班	1592
601	究	1591
602	黃	1589
603	研	1588
604	標	1586
605	肉	1585
606	專	1579
607	順	1576
608	拚	1576
609	歸	1575
610	料	1575
611	卡	1573
612	李	1568
613	容	1567
614	祖	1564
615	慢	1564
616	粒	1560
617	假	1551
618	程	1545
619	揲	1541
620	亞	1533
621	八	1531
622	擔	1531
623	漸	1521
624	驗	1521
625	初	1513
626	咾	1512
627	贊	1511
628	俗	1510
629	蘭	1508
630	指	1503
631	根	1501
632	焦 (ta)	1495
633	係	1491
634	演	1490
635	肝	1489
636	牢	1487
637	角	1475
638	米	1475
639	血	1463
640	產	1463
641	雨	1459
642	溪	1455
643	綴	1447
644	舊	1445
645	斷	1441
646	勇	1435
647	靠	1434
648	集	1428
649	妹	1428
650	除	1425
651	壁	1424
652	啊	1421
653	店	1420
654	徛	1411
655	爭	1409
656	景	1400
657	領	1398
658	群	1395
659	司	1393
660	鳥	1387
661	飯	1385
662	智	1384
663	殼	1384
664	至	1384
665	便	1384
666	䆀	1372
667	紀	1369
668	住	1368
669	珠	1367
670	類	1367
671	靜	1367
672	煩	1367
673	雙	1366
674	渧	1362
675	春	1361
676	恩	1352
677	極	1349
678	印	1349
679	又	1349
680	透	1343
681	額	1342
682	痛	1335
683	系	1331
684	冷	1330
685	象	1326
686	惜	1321
687	靈	1320
688	企	1318
689	夢	1318
690	鐘	1313
691	姑	1311
692	益	1311
693	啉	1309
694	庭	1306
695	跳	1301
696	敬	1299
697	處	1298
698	婚	1297
699	飼	1294
700	顯	1293
701	繼	1292
702	推	1288
703	希	1285
704	護	1283
705	採	1281
706	六	1277
707	舉	1274
708	布	1274
709	視	1271
710	值	1263
711	獻	1263
712	帶	1263
713	銀	1262
714	章	1262
715	他	1259
716	呵	1253
717	孫	1253
718	枝	1248
719	街	1247
720	房	1246
721	志	1246
722	引	1243
723	簡	1241
724	榮	1241
725	阮 (gún)	1237
726	𬦰	1237
727	批	1236
728	試	1235
729	紙	1234
730	卻	1232
731	典	1228
732	樓	1228
733	隔	1228
734	區	1223
735	價	1223
736	麗	1222
737	晝	1220
738	塗	1217
739	而	1215
740	候	1213
741	畫	1210
742	答	1209
743	傷 (siunn)	1201
744	鬼	1191
745	篇	1187
746	干	1186
747	惠	1186
748	翁	1182
749	港	1182
750	如	1179
751	態	1179
752	險	1173
753	術	1171
754	並	1170
755	組	1167
756	需	1162
757	尊	1162
758	團	1161
759	證	1160
760	停	1154
761	嚴	1153
762	且	1152
763	刣	1150
764	宗	1150
765	借	1146
766	務	1144
767	兵	1142
768	憐	1140
769	守	1140
770	版	1134
771	境	1132
772	毛	1130
773	財	1125
774	淡	1124
775	養	1122
776	越	1121
777	戲	1119
778	賰	1119
779	聯	1116
780	七	1115
781	埔	1112
782	科	1108
783	線	1106
784	醒	1103
785	捒	1102
786	絕	1100
787	抵	1094
788	呼 (khoo)	1094
789	楚	1093
790	欠	1088
791	嫁	1087
792	島	1087
793	𢼌	1083
794	秀	1082
795	費	1081
796	列	1078
797	圖	1078
798	藥	1077
799	軍	1076
800	惡	1075
801	亂	1071
802	伙	1069
803	熟	1069
804	翻	1067
805	告	1063
806	哭	1062
807	著 (to̍h)	1060
808	皮	1060
809	宣	1060
810	眠	1056
811	譯	1054
812	里	1054
813	姐	1054
814	興	1051
815	寶	1049
816	惱	1046
817	番	1041
818	婆	1036
819	良	1035
820	段	1032
821	悲	1032
822	兒	1030
823	息	1025
824	整	1022
825	鬥	1021
826	察	1017
827	癀	1017
828	趣	1016
829	響	1014
830	農	1011
831	達	1010
832	鼓	1008
833	遍	1005
834	偷	1004
835	堅	1003
836	片	989
837	普	987
838	修	987
839	勞	986
840	歇	985
841	撒	984
842	賞	982
843	派	980
844	忽	978
845	警	977
846	桌	977
847	圍	974
848	存	973
849	層	972
850	貴	971
851	富	970
852	陷	969
853	腦	966
854	責	964
855	拉	963
856	何	963
857	鐵	963
858	省	962
859	助	961
860	孝	959
861	掛	959
862	賊	958
863	際	958
864	薄	957
865	源	954
866	向 (ǹg)	954
867	豬	953
868	格	950
869	茶	945
870	般	945
871	投	944
872	京	944
873	踏	939
874	軟	939
875	犯	938
876	退	937
877	評	935
878	忍	933
879	註	932
880	營	932
881	疑	932
882	河	929
883	環	928
884	耳	928
885	招	927
886	岸	924
887	野	924
888	床	923
889	男	923
890	僫	921
891	享	915
892	玉	913
893	囥	912
894	博	912
895	迌	909
896	編	908
897	律	907
898	肚 (tóo)	902
899	怨	899
900	塊	897
901	載	896
902	導	896
903	局	895
904	據	894
905	票	893
906	娘 (niâ)	889
907	哥	884
908	拼	884
909	竹	883
910	隊	881
911	夥	879
912	勤	877
913	腹	877
914	補	870
915	質	869
916	掜	869
917	素	867
918	例	863
919	危	862
920	短	860
921	骨	860
922	油	859
923	圓	858
924	探	856
925	晡	856
926	魂	854
927	拖	854
928	攑	854
929	介	854
930	符	852
931	丈	848
932	挈	847
933	洋	845
934	稱	844
935	穩	843
936	齊	842
937	序	839
938	壓	838
939	香	837
940	配	835
941	幼	835
942	九	834
943	曲	832
944	孔	832
945	策	832
946	即	830
947	賜	829
948	焦 (na)	829
949	袋	828
950	搖	826
951	罵	826
952	伴	825
953	網	824
954	贏	823
955	溫	822
956	授	821
957	娶	819
958	室	817
959	箍	814
960	案	814
961	雜	808
962	躡	807
963	球	804
964	星	802
965	首	801
966	憂	800
967	慘	799
968	雲	798
969	屬	795
970	蓮	794
971	擋	793
972	葉	791
973	適	790
974	坐 (tshē)	789
975	木	785
976	純	785
977	君	784
978	孤	783
979	添	780
980	判	777
981	館	777
982	佛	777
983	坱	776
984	迫	775
985	祝	774
986	閒	773
987	肚 (tōo)	773
988	詳	773
989	概	769
990	誤	769
991	錯	768
992	羊	768
993	爁	767
994	限	767
995	效	766
996	困	763
997	踅	762
998	被	762
999	慰	762
1000	仙	761
1001	臭	758
1002	激	758
1003	甫	758
1004	罔	757
1005	彩	749
1006	訪	749
1007	復	748
1008	毒	748
1009	賽	747
1010	巴	745
1011	頓	745
1012	唸	744
1013	緣	744
1014	幸	742
1015	莉	741
1016	佗 (toh)	740
1017	吹	739
1018	刊	738
1019	呼 (hoo)	737
1020	刀	736
1021	監	735
1022	取	734
1023	耍	729
1024	筆	727
1025	沓	727
1026	從	726
1027	顛	725
1028	錄	722
1029	嫌	720
1030	瑪	720
1031	𨑨	719
1032	黏	719
1033	令	718
1034	哀	716
1035	溝	716
1036	睭	715
1037	州	715
1038	闊	714
1039	舞	714
1040	允	712
1041	芳	711
1042	柴	711
1043	飽	711
1044	燈	710
1045	打	710
1046	陪	708
1047	具	708
1048	蓋	708
1049	祭	707
1050	摸	706
1051	聚	704
1052	負	703
1053	爾	702
1054	職	701
1055	龍	701
1056	窗	700
1057	抱	697
1058	禁	694
1059	抗	692
1060	背	690
1061	忠	690
1062	寒	690
1063	劇	689
1064	器	688
1065	雪	688
1066	肯	688
1067	廣	687
1068	元	687
1069	往	686
1070	練	685
1071	佗 (tó)	684
1072	藝	683
1073	此	683
1074	悔	682
1075	束	680
1076	吳	680
1077	迷	679
1078	欣	679
1079	鄭	678
1080	煮	678
1081	洲	677
1082	辭	676
1083	密	676
1084	縣	675
1085	脫	674
1086	承	674
1087	勸	673
1088	蕃	671
1089	減	670
1090	嫂	670
1091	寄	669
1092	騙	665
1093	獎	664
1094	雅	663
1095	廳	662
1096	抐	660
1097	鼻	660
1098	湖	659
1099	級	654
1100	刻	654
1101	與	652
1102	充	652
1103	叔	651
1104	鬧	649
